number	gene	sample1	sample2	sample1_rpkm	sample2_rpkm	rpkm_ratio	LogFC	DEGs
16136	rapgef1b	7982	7585	11.2078839358	10.645283433	1.05284974387	-0.0742995586349336	NA
16137	saal1	1367	1299	9.59124168734	9.10972388677	1.0528575626	-0.0743102724162365	NA
16138	sirt1	2613	2483	21.9569979677	20.8545111501	1.05286562747	-0.0743213234012375	NA
16139	exoc6	2994	2845	3.77656504514	3.58688279867	1.05288219803	-0.0743440291225302	NA
16140	si.ch1073.143l10.2	643	611	19.7793929408	18.7859403127	1.05288277359	-0.0743448177672756	NA
16141	scaf11	6487	6164	46.9128057045	44.5553523123	1.05291066662	-0.0743830372216252	NA
16142	xirp2b	241	229	0.437732097003	0.415734987038	1.0529113754	-0.0743840083910755	NA
16143	rpap3	1646	1564	14.4109375964	13.6863895796	1.05293930971	-0.074422283372331	NA
16144	mre11a	582	553	2.92412907394	2.77708023857	1.05295087745	-0.0744381329316346	NA
16145	ephb3b	4452	4230	54.3967144092	51.6591936643	1.05299193717	-0.0744943895927052	NA
16146	arhgap23a	11000	10451	11.6440306321	11.0575330055	1.05304054949	-0.0745609913652968	NA
16147	ssr1	6290	5976	91.1076802831	86.5176421076	1.05305320468	-0.0745783292354721	NA
16148	prss16	1302	1237	4.80823951958	4.56598574787	1.05305618219	-0.0745824084473234	NA
16149	baz2ba	27223	25862	23.5007389369	22.3150253629	1.05313521068	-0.0746906740240173	NA
16150	engl	120	114	0.458614767341	0.435473149808	1.05314131892	-0.0746990417018346	NA
16151	glipr2.2	60	57	0.727671475764	0.690953305784	1.05314131892	-0.0746990417018346	NA
16152	LOC101884805	40	38	1.5750976115	1.49561847324	1.05314131892	-0.0746990417018346	NA
16153	LOC101884945	80	76	1.77305816294	1.68358997135	1.05314131892	-0.0746990417018346	NA
16154	mxe	40	38	0.392848842774	0.373025761802	1.05314131892	-0.0746990417018346	NA
16155	oxtr	80	76	0.648754420824	0.616018391046	1.05314131892	-0.0746990417018346	NA
16156	rims4	240	228	0.487307982339	0.462718510408	1.05314131892	-0.0746990417018346	NA
16157	si.dkey.117n7.5	20	19	0.468093424298	0.444473515463	1.05314131892	-0.0746990417018346	NA
16158	tgfbr3.3	60	57	0.0648383895766	0.0615666562616	1.05314131892	-0.0746990417018349	NA
16159	tmem136a	4155	3947	67.3059088937	63.9056172703	1.05320802409	-0.0747904180226614	NA
16160	phf21ab	9468	8994	29.1860936068	27.7115199783	1.05321157518	-0.0747952823236566	NA
16161	glceb	5352	5084	11.2992124914	10.7282122129	1.05322417819	-0.0748125458945598	NA
16162	ddx39ab	13418	12746	80.7247132836	76.6447444082	1.05323220668	-0.0748235431980013	NA
16163	si.ch211.155e24.3	2436	2314	58.9206557556	55.9426950593	1.05323234237	-0.0748237290569003	NA
16164	si.dkey.111e8.1	1178	1119	10.8583189041	10.3094887995	1.05323543342	-0.0748279631121246	NA
16165	arf4a	1996	1896	47.2152785829	44.8280755352	1.05325240977	-0.074851216697059	NA
16166	hps1	499	474	3.47421842755	3.29856204962	1.05325240977	-0.074851216697059	NA
16167	brd4	17434	16560	24.4015040613	23.1669909783	1.05328758854	-0.0748994020994747	NA
16168	sytl4	259	246	2.29739661939	2.1810271067	1.05335537203	-0.0749922426053714	NA
16169	LOC103909967	757	719	20.8896201022	19.8313963938	1.05336102851	-0.0749999898044916	NA
16170	mob2b	2886	2741	6.14914555651	5.83737003815	1.05341027146	-0.0750674319234806	NA
16171	cysltr2a	199	189	7.15951747375	6.79645152448	1.05341992773	-0.075080656580634	NA
16172	lmbr1	1930	1833	5.43120341728	5.15573951672	1.05342859151	-0.0750925218736147	NA
16173	rpl4	31436	29855	939.157972829	891.493513618	1.05346585083	-0.0751435484762449	NA
16174	fgfr1op	2704	2568	13.0340513495	12.3725011334	1.05346940032	-0.0751484094179388	NA
16175	LOC564739	159	151	0.932512074307	0.885164584221	1.05349004121	-0.0751766762173342	NA
16176	ank3b	3895	3699	1.66783283411	1.58313930447	1.05349720609	-0.0751864880830941	NA
16177	lrp4	14663	13925	15.0481345311	14.2838334269	1.05350812218	-0.0752014368695718	NA
16178	dnajb5	139	132	0.907689743601	0.861561535586	1.05354023608	-0.0752454136231117	NA
16179	exoc8	1250	1187	81.9648114093	77.7961119159	1.05358493363	-0.0753066201656004	NA
16180	spock2	357	339	0.683300552458	0.648534369068	1.05360731065	-0.0753372611508134	NA
16181	gk5	2260	2146	7.99908980188	7.59191948195	1.0536320651	-0.0753711568040859	NA
16182	unc119a	99	94	0.78880027374	0.748599364609	1.05370150047	-0.0754662286600301	NA
16183	atf7b.2	277	263	2.68558457401	2.54861688234	1.05374196986	-0.0755216370149438	NA
16184	eif3g	5975	5673	115.360080329	109.476313921	1.05374465212	-0.0755253093426135	NA
16185	ablim1b	4763	4522	4.11791257746	3.90766064835	1.05380506345	-0.0756080168705508	NA
16186	med14	5808	5514	33.3428723603	31.6397400345	1.05382889758	-0.0756406462436179	NA
16187	vps33b	474	450	3.70004896626	3.51100450044	1.05384341313	-0.0756605179392799	NA
16188	prpf40a	11704	11111	37.633590635	35.7095381674	1.05388063152	-0.0757114684245895	NA
16189	megf6a	513	487	0.544172593588	0.516342655593	1.05389819666	-0.0757355137827697	NA
16190	ctbp1	12663	12021	72.9972994059	69.2628768532	1.0539166538	-0.0757607797849487	NA
16191	ttf2	2189	2078	14.5741321708	13.8284093767	1.05392686706	-0.075774760534792	NA
16192	fzd4	3293	3126	38.607876813	36.6321917931	1.05393302784	-0.0757831938537408	NA
16193	tead3a	6400	6075	14.7709959363	14.0141199197	1.0540081019	-0.075885956652277	NA
16194	LOC108183690	374	355	9.61835551205	9.12530352267	1.0540312975	-0.07591770575365	NA
16195	lrp8.2	4035	3830	3.58782320364	3.40389387731	1.05403497669	-0.0759227416108811	NA
16196	fbxw7.2	28034	26609	19.1140625019	18.1336917426	1.05406349535	-0.0759617755794328	NA
16197	uncx4.1	118	112	4.44077432674	4.21293211744	1.05408162367	-0.0759865875622951	NA
16198	ppm1aa	9315	8841	40.7284036561	38.6372014387	1.05412406022	-0.0760446682419015	NA
16199	cep72	727	690	6.16823647809	5.85147613003	1.05413340857	-0.0760574625121209	NA
16200	LOC101882530	844	801	12.9613085944	12.2950036721	1.05419314545	-0.0761392165565327	NA
16201	cactin	2414	2291	19.8089726727	18.7905511554	1.05419859741	-0.0761466777084041	NA
16202	rhogb	157	149	1.6642865425	1.57871763398	1.0542015283	-0.076150688687523	NA
16203	srsf10b	1236	1173	29.3714647498	27.8608838114	1.05421870134	-0.0761741901339237	NA
16204	cdkal1	3157	2996	9.18284587796	8.71032309942	1.05424859367	-0.0762150971122919	NA
16205	myo6a	2271	2155	5.53345683212	5.24827289541	1.05433862575	-0.0763382969884853	NA
16206	gpc6b	509	483	1.32897152236	1.26047653643	1.05434054816	-0.0763409274979799	NA
16207	sema3e	978	928	1.72121846047	1.63243109706	1.05438965453	-0.0764081200827193	NA
16208	si.ch211.196p9.1	1975	1874	21.9980080155	20.8629436505	1.05440576287	-0.0764301605506986	NA
16209	smc1al	24874	23601	65.0983436199	61.7368484519	1.05444876524	-0.0764889975201378	NA
16210	disp1	9903	9396	9.72411401771	9.22180668577	1.05446951439	-0.0765173861895531	NA
16211	parga	3359	3187	9.0423225555	8.57515141231	1.05447963782	-0.0765312367147029	NA
16212	LOC110439879	156	148	0.513812222819	0.487226936967	1.05456448286	-0.0766473134913564	NA
16213	zgc.153615	78	74	0.676481901987	0.641479883858	1.05456448286	-0.0766473134913564	NA
16214	acvr1bb	3373	3200	20.8692335169	19.7892747537	1.0545729329	-0.0766588735014596	NA
16215	acvr2b	11580	10986	31.2512953027	29.6338992813	1.05457925081	-0.0766675166161633	NA
16216	pvalb9	2649	2513	180.710841818	171.350147187	1.05462904342	-0.0767356327470243	NA
16217	snrpd3l	2103	1995	90.3046221673	85.625545192	1.05464580652	-0.0767585638801289	NA
16218	os9	331	314	2.91508331665	2.76402755805	1.05465059788	-0.0767651181736483	NA
16219	LOC110439388	253	240	17.4812682316	16.5749947569	1.05467715001	-0.0768014393438498	NA
16220	rps3a	13816	13106	439.55750663	416.766960621	1.05468414765	-0.0768110113968412	NA
16221	krt8	59830	56755	1950.10565638	1848.98338959	1.05469073835	-0.0768200267513583	NA
16222	fam207a	2062	1956	11.3229583015	10.735686972	1.05470272476	-0.0768364226739322	NA
16223	tmtops2b	2740	2599	4.6371120362	4.39635797835	1.05476215973	-0.076917719633746	NA
16224	synpo2lb	136	129	0.970785734265	0.92037312805	1.05477409616	-0.076934046085143	NA
16225	si.ch1073.55a19.2	15867	15050	97.673229991	92.5991436759	1.05479625528	-0.076964354486125	NA
16226	mlxip	8019	7606	33.7927606052	32.0368289016	1.05480978498	-0.076982859591701	NA
16227	cyp2aa12	330	313	3.65424037297	3.46431402213	1.05482365329	-0.0770018275712553	NA
16228	sept2	6753	6405	43.6658454747	41.3955827149	1.05484311636	-0.0770284472043608	NA
16229	ndufa10	1785	1693	39.9260895299	37.8499453227	1.05485197375	-0.0770405612788779	NA
16230	sgsm1b	97	92	0.393031912621	0.372592106847	1.05485839715	-0.0770493463881725	NA
16231	haus5	1997	1894	17.7841678012	16.8587433721	1.05489284751	-0.0770964622336453	NA
16232	shisa8b.2	407	386	0.828036159822	0.784931829789	1.05491474342	-0.0771264072562245	NA
16233	si.zfos.411a11.2	155	147	4.22686410338	4.00676308853	1.05493237558	-0.0771505206959306	NA
16234	fam19a1	891	845	0.396863145071	0.376191966626	1.05494848449	-0.077172550610433	NA
16235	yeats2	5633	5342	10.5827135118	10.0311543809	1.05498461194	-0.0772219558624964	NA
